[2023.05.27 13:28:35.172] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:28:35.173] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:08.593] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:08.602] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:08.603] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:08.604] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:08.605] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:08.766] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:08.779] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:08.780] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:08.782] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:08.783] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:09.774] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:09.784] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:09.785] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:09.786] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:09.787] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:09.951] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:09.960] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:09.962] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:09.963] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:09.963] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:10.099] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:10.111] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:10.113] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:10.114] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:10.116] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:10.246] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:10.257] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:10.259] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:10.261] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:10.263] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:15.548] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:15.557] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:15.559] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:15.560] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:15.562] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:15.716] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:15.729] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:15.730] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:15.732] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:15.733] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:21.164] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:21.177] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.179] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.181] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.182] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:21.321] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:21.338] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.340] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.343] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.345] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:21.458] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.27 13:29:21.469] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.470] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.471] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.27 13:29:21.471] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.27 13:29:25.880] [HTTP] /Main.page (Method: GET, IP: ::1)
