[2023.05.28 00:07:06.049] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.051] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.051] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.052] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:06.352] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:06.365] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.366] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.367] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.368] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:06.557] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:06.571] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.572] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.573] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.574] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:06.837] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:06.849] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.851] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.852] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:06.853] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:07.016] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:07.035] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:07.037] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:07.038] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:07.039] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:07.190] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:07.204] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:07.206] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:07.207] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:07.208] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:10.407] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:10.420] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:10.421] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:10.422] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:10.423] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:10.752] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:10.765] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:10.766] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:10.767] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:10.768] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:27.818] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:27.834] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:27.835] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:27.836] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:27.837] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:28.771] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:28.783] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:28.784] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:28.785] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:28.786] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:29.929] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:29.938] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.28 00:07:29.939] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.28 00:07:29.940] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.28 00:07:29.941] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.28 00:07:30.092] [HTTP] /Main.page (Method: GET, IP: ::1)
[2023.05.28 00:07:30.111] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
