[2023.05.13 17:41:26.633] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:41:49.301] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:41:49.312] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:41:49.313] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:41:49.314] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:42:31.852] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:42:31.867] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:42:31.869] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:42:31.870] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:44:39.184] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:44:39.209] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:44:39.211] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:44:39.212] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:45:19.290] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:45:19.303] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:45:19.304] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:45:19.305] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:45:19.360] [HTTP] /client/build/33df0769c9c6c48c6b84.png (Method: GET, IP: ::1)
[2023.05.13 17:46:15.149] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:46:15.166] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:46:15.168] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:46:15.168] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:46:15.224] [HTTP] /client/build/33df0769c9c6c48c6b84.png (Method: GET, IP: ::1)
[2023.05.13 17:56:56.403] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:56:56.412] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:56:56.413] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:56:56.414] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.13 17:57:07.901] [HTTP] /Dashboard1.page (Method: GET, IP: ::1)
[2023.05.13 17:57:07.911] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.13 17:57:07.912] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.13 17:57:07.912] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
