[2023.05.16 15:38:49.470] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:39:28.030] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:39:28.044] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:39:28.045] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:39:28.047] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:39:28.050] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:40:03.368] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:40:03.379] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:40:03.380] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:40:03.382] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:40:03.383] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:40:03.509] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.16 15:40:03.510] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\dgcatholic\favicon.ico'/n
[2023.05.16 15:40:21.807] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:40:21.817] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:40:21.823] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:40:21.825] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:40:21.826] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:40:59.339] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:40:59.348] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:40:59.350] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:40:59.351] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:40:59.353] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:41:33.343] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:41:33.356] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:41:33.357] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:41:33.359] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:41:33.360] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:41:33.464] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.05.16 15:41:33.465] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\takensoft\dev\nodejs\workspace\dgcatholic\favicon.ico'/n
[2023.05.16 15:43:10.081] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:43:10.092] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.16 15:43:10.093] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.16 15:43:10.094] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.16 15:43:10.095] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.16 15:44:03.748] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.16 15:44:03.769] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
