[2023.05.22 11:35:35.682] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:35:35.683] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:35:36.161] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:35:36.177] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.178] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.179] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.180] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:35:36.341] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:35:36.362] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.363] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.364] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.366] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:35:36.495] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:35:36.509] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.510] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.511] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:35:36.512] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:36:05.094] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:36:05.120] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.122] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.123] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.124] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:36:05.584] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:36:05.612] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.613] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.614] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.616] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:36:05.771] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:36:05.790] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.792] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.793] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.794] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:36:05.936] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:36:05.946] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.948] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.949] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:36:05.950] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:36:07.368] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:36:07.380] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.381] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.383] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.385] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:36:07.556] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:36:07.570] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.571] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.573] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.575] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:36:07.710] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:36:07.727] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.729] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.730] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:36:07.732] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:40:16.430] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:40:16.444] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:40:16.445] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:40:16.446] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:40:16.447] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:40:59.939] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:40:59.953] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:40:59.954] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:40:59.955] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:40:59.958] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:41:00.081] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:41:00.093] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:41:00.095] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:41:00.095] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:41:00.096] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:41:00.256] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:41:00.269] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:41:00.271] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:41:00.274] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:41:00.275] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:41:16.804] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.22 11:41:16.819] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:41:16.820] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:41:16.822] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.22 11:41:16.824] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.22 11:42:38.060] [HTTP] /Dashboardlist.page (Method: GET, IP: ::1)
[2023.05.22 11:42:38.072] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.22 11:42:38.074] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.22 11:42:38.075] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
