[2023.05.18 15:23:10.299] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:24:55.042] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 15:24:55.054] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:24:55.056] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:24:55.057] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:24:55.058] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:25:51.834] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:25:51.848] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:25:51.850] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:25:51.852] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:25:51.852] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:27:09.810] [HTTP] /Tablelist.page (Method: GET, IP: ::1)
[2023.05.18 15:27:09.823] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:27:09.825] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:27:09.828] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:27:09.830] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:27:19.008] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:27:19.019] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:27:19.021] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:27:19.022] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.18 15:27:19.023] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.18 15:39:43.438] [HTTP] /Dashboard.page (Method: GET, IP: ::1)
[2023.05.18 15:39:43.452] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.18 15:39:43.454] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.18 15:39:43.458] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
