[2023.05.19 10:50:28.292] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:50:36.875] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:50:36.889] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:50:36.890] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:50:36.891] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:50:36.892] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:50:37.022] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:50:37.036] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.038] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.038] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.040] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:50:37.184] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:50:37.198] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.199] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.201] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.202] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:50:37.342] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:50:37.354] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.356] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.357] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.358] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:50:37.476] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:50:37.487] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.488] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.489] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:50:37.490] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:51:23.128] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:51:23.142] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.144] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.146] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.148] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:51:23.262] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:51:23.274] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.275] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.277] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.278] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:51:23.413] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
[2023.05.19 10:51:23.426] [HTTP] /client/resources/css/reset.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.428] [HTTP] /client/resources/css/common.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.430] [HTTP] /client/resources/css/main.css (Method: GET, IP: ::1)
[2023.05.19 10:51:23.431] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.05.19 10:51:23.547] [HTTP] /Tablelist.page?showChartView=true (Method: GET, IP: ::1)
